,Date,Time,League,Name,Opponent,Stat,Projection,Line,ROI,Win,Hold,Best Bet,Best Bet Sportsbook,Best Bet Odds
0,Fri 2/4 , 06:15 am +0545,NBA,Mikal Bridges,ATL Hawks,3-Pointers,0,1.5,75%,100%,4.1%,u 1.5,SugarHouse,-133
1,Fri 2/4 , 06:15 am +0545,NBA,Devin Booker,ATL Hawks,3-Pointers,0,3.5,62%,100%,,u 3.5,FanDuel,-160
2,Fri 2/4 , 06:15 am +0545,NBA,Chris Paul,ATL Hawks,3-Pointers,0,1.5,55%,100%,5.2%,u 1.5,SugarHouse,-182
3,Fri 2/4 , 06:15 am +0545,NBA,Devin Booker,ATL Hawks,Assists,,4.5,,,1.2%,u 4.5,PointsBet,+100
4,Fri 2/4 , 06:15 am +0545,NBA,Devin Booker,ATL Hawks,Assists,,4.5,,,1.2%,o 4.5,Caesars,-105
5,Fri 2/4 , 06:15 am +0545,NBA,Mikal Bridges,ATL Hawks,Blocks,,0.5,,,4.4%,u 0.5,Caesars,-208
6,Fri 2/4 , 06:15 am +0545,NBA,Mikal Bridges,ATL Hawks,Blocks,,0.5,,,4.4%,o 0.5,Caesars,+170
7,Fri 2/4 , 06:15 am +0545,NBA,Devin Booker,ATL Hawks,Points,,29.5,,,2.4%,u 29.5,PointsBet,-105
8,Fri 2/4 , 06:15 am +0545,NBA,Devin Booker,ATL Hawks,Points,,29.5,,,2.4%,o 29.5,DraftKings,-105
9,Fri 2/4 , 06:15 am +0545,NBA,Chris Paul,ATL Hawks,Blocks,,0.5,,,4.8%,u 0.5,Caesars,-385
10,Fri 2/4 , 06:15 am +0545,NBA,Chris Paul,ATL Hawks,Blocks,,0.5,,,4.8%,o 0.5,Caesars,+290
11,Fri 2/4 , 06:15 am +0545,NBA,Mikal Bridges,ATL Hawks,Assists,,2.5,,,1.2%,u 2.5,PointsBet,-130
12,Fri 2/4 , 06:15 am +0545,NBA,Mikal Bridges,ATL Hawks,Assists,,2.5,,,1.2%,o 2.5,FanDuel,+124
13,Fri 2/4 , 06:15 am +0545,NBA,Chris Paul,ATL Hawks,Rebounds,,4.5,,,3.6%,u 4.5,PointsBet,-130
14,Fri 2/4 , 06:15 am +0545,NBA,Chris Paul,ATL Hawks,Rebounds,,4.5,,,3.6%,o 4.5,FanDuel,+112
15,Fri 2/4 , 06:15 am +0545,NBA,Devin Booker,ATL Hawks,Rebounds,,5.5,,,3.6%,u 5.5,PointsBet,-130
16,Fri 2/4 , 06:15 am +0545,NBA,Devin Booker,ATL Hawks,Rebounds,,5.5,,,3.6%,o 5.5,FanDuel,+112
17,Fri 2/4 , 06:15 am +0545,NBA,Chris Paul,ATL Hawks,Assists,,12.5,,,3.4%,u 12.5,PointsBet,-115
18,Fri 2/4 , 06:15 am +0545,NBA,Chris Paul,ATL Hawks,Assists,,12.5,,,3.4%,o 12.5,SugarHouse,+100
19,Fri 2/4 , 06:15 am +0545,NBA,Mikal Bridges,ATL Hawks,Points,,13.5,,,3.2%,u 13.5,FanDuel,-114
20,Fri 2/4 , 06:15 am +0545,NBA,Mikal Bridges,ATL Hawks,Points,,13.5,,,3.2%,o 13.5,DraftKings,+100
21,Fri 2/4 , 06:15 am +0545,NBA,Chris Paul,ATL Hawks,Steals,,1.5,,,4.2%,u 1.5,DraftKings,+105
22,Fri 2/4 , 06:15 am +0545,NBA,Chris Paul,ATL Hawks,Steals,,1.5,,,4.2%,o 1.5,Caesars,-125
23,Fri 2/4 , 06:15 am +0545,NBA,Devin Booker,ATL Hawks,Blocks,,0.5,,,4.8%,u 0.5,Caesars,-385
24,Fri 2/4 , 06:15 am +0545,NBA,Devin Booker,ATL Hawks,Blocks,,0.5,,,4.8%,o 0.5,Caesars,+290
25,Fri 2/4 , 06:15 am +0545,NBA,Mikal Bridges,ATL Hawks,Rebounds,,4.5,,,2.5%,u 4.5,SugarHouse,-122
26,Fri 2/4 , 06:15 am +0545,NBA,Mikal Bridges,ATL Hawks,Rebounds,,4.5,,,2.5%,o 4.5,FanDuel,+110
27,Fri 2/4 , 06:15 am +0545,NBA,Devin Booker,ATL Hawks,Steals,,0.5,,,4.8%,u 0.5,Caesars,+185
28,Fri 2/4 , 06:15 am +0545,NBA,Devin Booker,ATL Hawks,Steals,,0.5,,,4.8%,o 0.5,Caesars,-233
29,Fri 2/4 , 06:15 am +0545,NBA,Chris Paul,ATL Hawks,Points,,16.5,,,,u 16.5,PointsBet,-135
30,Fri 2/4 , 06:15 am +0545,NBA,Chris Paul,ATL Hawks,Points,,15.5,,,,o 15.5,FanDuel,-118
31,Fri 2/4 , 06:15 am +0545,NBA,Mikal Bridges,ATL Hawks,Steals,,1.5,,,3.9%,u 1.5,Caesars,-222
32,Fri 2/4 , 06:15 am +0545,NBA,Mikal Bridges,ATL Hawks,Steals,,1.5,,,3.9%,o 1.5,DraftKings,+185
33,Fri 2/4 , 06:15 am +0545,NBA,Devin Booker,ATL Hawks,Pts+Reb+Ast,,39.5,,,5.4%,u 39.5,SugarHouse,-112
34,Fri 2/4 , 06:15 am +0545,NBA,Devin Booker,ATL Hawks,Pts+Reb+Ast,,39.5,,,5.4%,o 39.5,SugarHouse,-112
35,Fri 2/4 , 06:15 am +0545,NBA,Mikal Bridges,ATL Hawks,Pts+Reb+Ast,,20.5,,,5.1%,u 20.5,FanDuel,-118
36,Fri 2/4 , 06:15 am +0545,NBA,Mikal Bridges,ATL Hawks,Pts+Reb+Ast,,20.5,,,5.1%,o 20.5,SugarHouse,-105
37,Fri 2/4 , 06:15 am +0545,NBA,Chris Paul,ATL Hawks,Pts+Reb+Ast,,32.5,,,3.2%,u 32.5,SugarHouse,+107
38,Fri 2/4 , 06:15 am +0545,NBA,Mikal Bridges,ATL Hawks,3-Pointers,0,1.5,-100%,,4.1%,o 1.5,FanDuel,+112
39,Fri 2/4 , 06:15 am +0545,NBA,Devin Booker,ATL Hawks,3-Pointers,0,2.5,-100%,,,o 2.5,SugarHouse,-182
40,Fri 2/4 , 06:15 am +0545,NBA,Chris Paul,ATL Hawks,3-Pointers,0,1.5,-100%,,5.5%,o 1.5,FanDuel,+142
